"Query.Mass","Matched.Compound","Matched.Form","Mass.Diff"
"89.05960597","C00489","M-CO2+H[1+]","0.000170496769996475"
"89.05960597","C00623","M-HCOOK+H[1+]","7.04967699931558e-05"
"89.05960597","C00900","M-CO2+H[1+]","0.000170496769996475"
"170.0409296","C00025","M+Na[1+]","0.00154686677001337"
"170.0409296","C00217","M+Na[1+]","0.00154686677001337"
"170.0409296","C00302","M+Na[1+]","0.00154686677001337"
"170.0409296","C00979","M+Na[1+]","0.00154686677001337"
"170.0409296","C01234","M+HCOONa[1+]","0.00144686677001005"
"213.9873328","C01041","M+K[1+]","0.000256333229970096"
"152.035957","C00357","M(C13)+2H[2+]","0.00116946677002261"
"134.088384","C01255","M+H+Na[2+]","0.000757533229972296"
"169.0493915","C00502","M(S34)+H[1+]","0.00138496676999011"
"169.0493915","C00544","M+H[1+]","0.000184966770007122"
"169.0493915","C00545","M(S34)+H[1+]","0.00138496676999011"
"169.0493915","C00878","M(S34)+H[1+]","0.00138496676999011"
"169.0493915","C01031","M(C13)+2H[2+]","0.00106503322999174"
"169.0493915","C01161","M+H[1+]","0.000184966770007122"
